DATA_INIZIO,4000155_5,4000155_111
2015-04-06,12.0,8.0
2015-04-07,14.0,11.0
2015-04-08,19.0,14.0
2015-04-09,24.0,17.0
2015-04-10,30.0,18.0
2015-04-11,22.0,12.0
2015-04-12,26.0,15.0
2015-04-13,20.0,12.0
2015-04-14,30.0,18.0
2015-04-15,23.0,10.0
2015-04-16,17.0,7.0
2015-04-17,19.0,8.0
2015-04-18,21.0,8.0
2015-04-19,13.0,7.0
2015-04-20,17.0,11.0
2015-04-21,19.0,15.0
2015-04-22,15.0,9.0
2015-04-23,10.0,5.0
2015-04-24,18.0,18.0
2015-04-25,37.0,20.0
2015-04-26,29.0,14.0
2015-04-27,19.0,6.0
2015-04-28,9.0,4.0
2015-04-29,15.0,8.0
2015-04-30,15.0,10.0
2015-05-01,13.0,8.0
2015-05-02,14.0,7.0
2015-05-03,18.0,8.0
2015-05-04,32.0,16.0
2015-05-05,28.8,21.0
2015-05-06,45.0,35.0
2015-05-07,35.0,16.0
2015-05-08,25.0,13.0
2015-05-09,15.0,9.0
2015-05-10,12.0,10.0
2015-05-11,18.0,12.0
2015-05-12,21.0,11.0
2015-05-13,16.0,8.0
2015-05-14,22.0,8.0
2015-05-15,22.0,12.0
2015-05-16,14.0,5.0
2015-05-17,23.0,11.0
2015-05-18,24.0,22.0
2015-05-19,15.0,11.0
2015-05-20,11.0,5.0
2015-05-21,11.0,6.0
2015-05-22,10.0,6.0
2015-05-23,9.0,5.0
2015-05-24,9.0,4.0
2015-05-25,7.0,3.0
2015-05-26,11.0,7.0
2015-05-27,7.0,4.0
2015-05-28,12.0,6.0
2015-05-29,15.0,10.0
2015-05-30,17.0,10.0
2015-05-31,17.0,16.0
2015-06-01,18.0,10.0
2015-06-02,15.0,11.0
2015-06-03,24.2,16.0
2015-06-04,22.8,15.0
2015-06-05,23.0,13.0
2015-06-06,19.0,12.0
2015-06-07,20.0,13.0
2015-06-08,26.0,17.0
2015-06-09,16.0,9.0
2015-06-10,20.0,15.0
2015-06-11,19.0,23.0
2015-06-12,23.0,13.0
2015-06-13,32.2,14.0
2015-06-14,18.4,12.0
2015-06-15,11.4,7.0
2015-06-16,16.0,9.0
2015-06-17,13.6,9.0
2015-06-18,19.0,10.6
2015-06-19,22.0,12.0
2015-06-20,11.0,6.0
2015-06-21,10.0,4.0
2015-06-22,13.0,6.0
2015-06-23,15.0,7.0
2015-06-24,9.0,5.0
2015-06-25,9.0,5.0
2015-06-26,14.0,13.0
2015-06-27,17.0,11.0
2015-06-28,15.0,10.0
2015-06-29,17.0,9.0
2015-06-30,18.0,11.0
2015-07-01,20.0,14.0
2015-07-02,25.0,15.0
2015-07-03,27.0,16.0
2015-07-04,23.0,13.0
2015-07-05,23.0,15.0
2015-07-06,31.0,21.0
2015-07-07,29.0,18.0
2015-07-08,23.0,13.0
2015-07-09,21.0,9.0
2015-07-10,17.0,8.0
2015-07-11,20.0,11.0
2015-07-12,20.0,12.0
2015-07-13,23.0,14.0
2015-07-14,25.0,14.0
2015-07-15,23.0,18.0
2015-07-16,25.0,18.0
2015-07-17,19.0,12.0
2015-07-18,22.0,15.0
2015-07-19,19.0,13.0
2015-07-20,19.0,11.0
2015-07-21,26.0,15.0
2015-07-22,28.0,25.0
2015-07-23,19.0,13.0
2015-07-24,23.0,14.0
2015-07-25,14.0,8.0
2015-07-26,16.0,7.0
2015-07-27,15.0,8.0
2015-07-28,17.0,7.0
2015-07-29,16.0,7.0
2015-07-30,20.0,9.0
2015-07-31,17.0,9.0
2015-08-01,21.0,13.0
2015-08-02,20.8,13.0
2015-08-03,18.4,12.0
2015-08-04,17.0,10.0
2015-08-05,20.0,13.0
2015-08-06,24.0,17.0
2015-08-07,32.0,21.0
2015-08-08,32.0,22.0
2015-08-09,23.0,16.0
2015-08-10,15.0,9.0
2015-08-11,20.0,12.0
2015-08-12,28.0,17.6
2015-08-13,29.0,20.8
2015-08-14,22.0,19.0
2015-08-15,14.0,8.0
2015-08-16,6.0,3.0
2015-08-17,7.0,4.0
2015-08-18,12.0,5.0
2015-08-19,9.0,6.0
2015-08-20,9.0,5.0
2015-08-21,14.0,8.0
2015-08-22,14.0,8.6
2015-08-23,13.0,10.0
2015-08-24,14.6,8.0
2015-08-25,20.0,10.0
2015-08-26,15.0,8.0
2015-08-27,19.0,10.0
2015-08-28,37.6,25.0
2015-08-29,22.0,13.0
2015-08-30,18.0,11.0
2015-08-31,15.0,8.0
2015-09-01,21.0,11.0
2015-09-02,13.0,7.0
2015-09-03,10.0,5.0
2015-09-04,13.0,6.0
2015-09-05,15.0,7.0
2015-09-06,9.0,6.0
2015-09-07,16.0,8.0
2015-09-08,11.0,9.0
2015-09-09,12.0,5.0
2015-09-10,15.0,7.0
2015-09-11,20.0,13.0
2015-09-12,19.0,11.0
2015-09-13,19.0,11.0
2015-09-14,13.0,7.0
2015-09-15,12.0,4.0
2015-09-16,24.0,10.0
2015-09-17,30.0,13.0
2015-09-18,10.0,5.0
2015-09-19,8.0,6.0
2015-09-20,10.0,5.0
2015-09-21,12.0,6.0
2015-09-22,14.0,7.0
2015-09-23,10.0,4.0
2015-09-24,8.0,4.0
2015-09-25,15.0,9.0
2015-09-26,14.0,9.0
2015-09-27,16.0,9.0
2015-09-28,18.0,12.0
2015-09-29,20.0,13.0
2015-09-30,25.0,22.0
2015-10-01,16.0,9.0
2015-10-02,21.0,12.0
2015-10-03,23.0,13.0
2015-10-04,17.0,10.2
2015-10-05,29.0,16.0
2015-10-06,32.0,21.0
2015-10-07,20.8,13.0
2015-10-08,14.6,8.0
